stop_id,stop_name,stop_lat,stop_lon,parent_station
100210,Fairfield at Kipling (SB),48.413674,-123.345516,
100211,Johnson at Fernwood (EB),48.425395,-123.344975,
100212,Fort at Elford (EB),48.424934,-123.341292,
100213,George at Moss (WB),48.408175,-123.350299,
100214,Fernwood at Pandora (NB),48.427215,-123.345248,
100215,Skinner at Catherine (EB),48.435511,-123.384409,
100216,Fernwood at Grant (SB),48.428374,-123.345399,
100217,Eberts at May (SB),48.410637,-123.346305,
100218,Gorge Rd E at David (EB),48.438544,-123.368096,
100219,Skinner at Catherine (WB),48.435654,-123.385338,
100220,Hillside at Ross (WB),48.43859,-123.365786,
100221,Moss at Point (SB),48.406348,-123.351122,
100222,May at Eberts (EB),48.410907,-123.345836,
100223,Gorge Rd E at David (WB),48.438742,-123.3682,
100224,Fort at Stanley (WB),48.4246,-123.342749,
100225,Wilson at Dalton (EB),48.432526,-123.391202,
100226,Cook at Empress (SB),48.434597,-123.35243,
100227,Fernwood at Grant (NB),48.428865,-123.34517,
100228,Johnson at Stanley (NB),48.425845,-123.343174,
100229,Wilson at Dalton (WB),48.432664,-123.391205,
100230,Bushby at Joseph (WB),48.408357,-123.347867,
100231,Esquimalt at Barnard (EB),48.431303,-123.393218,
100232,Eberts at Bushby (SB),48.409109,-123.34667,
100233,Quadra at Kings (SB),48.437666,-123.358794,
100234,Quadra at Kings (NB),48.437903,-123.358611,
100235,Cook at Bay (NB),48.435219,-123.352165,
100236,Fairfield at Memorial (NB),48.412308,-123.343396,
100237,Hillside at Dowler (EB),48.438963,-123.362391,
100238,Memorial at May (SB),48.411543,-123.343857,
100240,Fernwood at Gladstone (SB),48.430264,-123.345245,
100241,Fairfield at Memorial (SB),48.4121397,-123.3434052,
100242,Esquimalt at Dominion (WB),48.431752,-123.394053,
100243,Memorial at Fairfield (NB),48.411816,-123.343432,
100244,Richardson at Arnold (WB),48.41642122,-123.3413966,
100245,Fernwood at Gladstone (NB),48.430662,-123.345034,
100246,Gorge Rd E at Rock Bay (WB),48.43972,-123.370752,
100247,Strandlund at Peatt (SB),48.455656,-123.496271,
100248,Pandora at Johnson (WB),48.426794,-123.342145,
100249,Richardson at Stannard (EB),48.416184,-123.340418,
100250,Cook at Haultain (SB),48.436148,-123.352276,
100251,Dunsmuir at Esquimalt (NB),48.43166,-123.394759,
100252,Dunsmuir at Garrett (EB),48.430295,-123.396173,
100253,Fernwood at Pembroke (NB),48.431532,-123.34503,
100254,Gorge Rd E at Garbally (EB),48.440318,-123.37272,
100256,Gorge Rd E at Garbally (WB),48.440326,-123.372273,
100257,Quadra at Hillside (SB),48.439104,-123.359195,
100258,Begbie at Elford (WB),48.42759341,-123.3412235,
100259,Dunsmuir at Garrett (WB),48.430191,-123.396762,
100260,Cook at Haultain (NB),48.436713,-123.352003,
100261,Hillside at Quadra (WB),48.439451,-123.359742,
100262,Pandora at Elford (EB),48.426567,-123.340832,
100263,Old Esquimalt at Viewfield (EB),48.43287927,-123.3944793,
100264,Fernwood at Centre (SB),48.432207,-123.345171,
100265,Begbie at Elford (EB),48.427545,-123.340894,
100266,Hillside at Fifth (EB),48.439475,-123.358167,
100267,Head at Paradise (NB),48.428049,-123.399053,
100268,Head at Paradise (SB),48.427892,-123.399276,
100269,Fairfield at Arnold (WB),48.412065,-123.341036,
100270,Gore at Lyall (EB),48.426481,-123.4002,
100271,Quadra at Market (NB),48.440055,-123.35924,
100272,Old Esquimalt at Viewfield (WB),48.433017,-123.394951,
100273,Craigflower at Pine (SB),48.436948,-123.388575,
100274,Gore at Lyall (WB),48.426478,-123.400509,
100275,Dunsmuir at Head (EB),48.42931,-123.398728,
100276,Esquimalt 830 block (WB),48.431849,-123.397028,
100277,Dunsmuir at Head (WB),48.429282,-123.399194,
100278,Hillside at Graham (WB),48.439794,-123.356813,
100279,Fairfield at Stannard (EB),48.41224811,-123.3396718,
100280,Hillside at Graham (EB),48.439771,-123.356014,
100281,Craigflower at Belton (NB),48.437419,-123.388819,
100282,Langford Parkway at Lakepoint Bay E (WB),48.44545431,-123.5324346,
100283,Esquimalt 850 block (EB),48.431526,-123.397927,
100284,Richardson at St Charles (WB),48.416239,-123.338052,
100285,Fernwood at Bay (SB),48.434253,-123.345095,
100286,Fort at Belmont (EB),48.42591,-123.338274,
100287,Legislature Terminus Bay G,48.41857645,-123.3688138,
100288,Gorge Rd E at Jutland (EB),48.44152,-123.375841,
100289,Fernwood at Bay (NB),48.434337,-123.344877,
100290,Burnside Rd E at Dunedin (EB),48.442038,-123.36955,
100291,Douglas at Summit (SB),48.442365,-123.369342,
100292,Burnside Rd E at Dunedin (WB),48.44218,-123.369544,
100293,Richardson at St Charles (EB),48.416164,-123.337087,
100294,Fort at Belmont (WB),48.426264,-123.337788,
100295,Douglas at Summit (NB),48.442585,-123.369092,
