shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,stop_id,travel_time
26.2,48.4686216,-123.3287012,42,,
26.2,48.46862512,-123.3302607,43,,
26.2,48.4686257,-123.3305213,44,100998,60
26.2,48.4686262,-123.3307442,45,,
26.2,48.4686571,-123.3308262,46,,
26.2,48.4686718,-123.3327337,47,,
26.2,48.46867751,-123.3334749,48,100972,60
26.2,48.46869169,-123.3353187,49,,
26.2,48.46869182,-123.335872,50,100985,45
26.2,48.46869208,-123.337066,51,,
26.2,48.46869241,-123.338703,52,,
26.2,48.4686926,-123.3396605,53,,
26.2,48.46872316,-123.3402223,54,100959,60
26.2,48.4687345,-123.3404307,55,,
26.2,48.4688221,-123.3407944,56,,
26.2,48.468979,-123.3411192,57,,
26.2,48.47030878,-123.342867,58,,
26.2,48.47045049,-123.3430533,59,100969,45
26.2,48.47100016,-123.3437758,60,,
26.2,48.4711546,-123.3439788,61,,
26.2,48.47128431,-123.3442144,62,,
26.2,48.47140261,-123.3444291,63,,
26.2,48.4714446,-123.3445054,64,,
26.2,48.47151907,-123.3447045,65,,
26.2,48.47161181,-123.3449525,66,100982,30
26.2,48.47169641,-123.3452678,67,,
26.2,48.47196513,-123.3468545,68,,
26.2,48.47197789,-123.3469241,69,,
26.2,48.47209825,-123.3475806,70,100979,30
26.2,48.47216835,-123.3479629,71,,
26.2,48.47218549,-123.3480564,72,,
26.2,48.47221389,-123.3486868,73,,
26.2,48.47197854,-123.3511757,74,,
26.2,48.47189468,-123.3517847,75,100966,60
26.2,48.47179918,-123.3524782,76,,
26.2,48.47174221,-123.3526165,77,,
26.2,48.47170196,-123.3529186,78,,
26.2,48.4715535,-123.3539796,79,,
26.2,48.47143935,-123.3547955,80,100955,60
26.2,48.47139817,-123.3550897,81,,
26.2,48.47108502,-123.3564282,82,,
26.2,48.47102741,-123.3566744,83,,
26.2,48.470986,-123.3569854,84,,
26.2,48.47093627,-123.3573588,85,,
26.2,48.47092858,-123.3574173,86,,
