stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,stop_short_name,,,
100128,Cook at Fort (NB),48.423606,-123.353903,100128,0,,Cook at Fort (NB),,,
100129,Pandora at Quadra (WB),48.42754701,-123.3587513,100129,0,,Pandora at Quadra (WB),,,
100130,May at Cook (WB),48.412249,-123.357077,100130,0,,May at Cook (WB),,,
100131,May at Cook (EB),48.412119,-123.356937,100131,0,,May at Cook (EB),,,
100132,Douglas at Discovery (SB),48.432157,-123.364687,100132,0,,Douglas at Discovery (SB),,,
100133,Quadra at Balmoral (NB),48.42923,-123.358712,100133,0,,Quadra at Balmoral (NB),,,
100134,Esquimalt at Sitkum (WB),48.430122,-123.380465,100134,0,,Esquimalt at Sitkum (WB),,,
100135,Quadra at North Park (SB),48.42961,-123.358889,100135,0,,Quadra at North Park (SB),,,
100136,Metchosin at Cotlow (NB),48.41445253,-123.4833134,100136,0,,Metchosin at Cotlow (NB),,,
100137,Fairfield at Linden (WB),48.417103,-123.352471,100137,0,,Fairfield at Linden (WB),,,
100138,Richardson at Linden (WB),48.419352,-123.351837,100138,0,,Richardson at Linden (WB),,,
100139,Richardson at Linden (EB),48.419169,-123.351169,100139,0,,Richardson at Linden (EB),,,
100141,Fairfield at Linden (EB),48.416731,-123.351845,100141,0,,Fairfield at Linden (EB),,,
100143,Johnson at Cook (EB),48.425821,-123.352734,100143,0,,Johnson at Cook (EB),,,
100144,Cook at Johnson (NB),48.42622,-123.353298,100144,0,,Cook at Johnson (NB),,,
100145,Quadra at Caledonia (SB),48.430531,-123.358747,100145,0,,Quadra at Caledonia (SB),,,
100146,Douglas at Discovery (NB),48.432172,-123.364472,100146,0,,Douglas at Discovery (NB),,,
100147,Quadra at Caledonia (NB),48.430583,-123.358527,100147,0,,Quadra at Caledonia (NB),,,
100148,Esquimalt at Catherine (WB),48.430465,-123.385237,100148,0,,Esquimalt at Catherine (WB),,,
100149,Tyee at Wilson (SB),48.43102737,-123.3787067,100149,0,,Tyee at Wilson (SB),,,
100150,Pandora at Cook (WB),48.427249,-123.353831,100150,0,,Pandora at Cook (WB),,,
100151,Wilson 100 block (WB),48.431472,-123.379285,100151,0,,Wilson 100 block (WB),,,
100152,Bay at Wilson (WB),48.432616,-123.382766,100152,0,,Bay at Wilson (WB),,,
100153,Fort at Linden (EB),48.422933,-123.350239,100153,0,,Fort at Linden (EB),,,
100154,Metchosin at Kenning (SB),48.4139323,-123.4835605,100154,0,,Metchosin at Kenning (SB),,,
100155,May at Linden (WB),48.411877,-123.353714,100155,0,,May at Linden (WB),,,
100156,May at Linden (EB),48.411803,-123.353983,100156,0,,May at Linden (EB),,,
100157,Swartz Bay Passenger Loop,48.68800142,-123.4121476,100157,0,,Swartz Bay Passenger Loop,,,
100158,Langford Parkway at Lakepoint Bay F (EB),48.4451035,-123.5335702,100158,0,,Langford Parkway at Lakepoint Bay F (EB),,,
100159,Johnson at Chambers (EB),48.425585,-123.350223,100159,0,,Johnson at Chambers (EB),,,
100160,Cook at Balmoral (NB),48.42872205,-123.3529911,100160,0,,Cook at Balmoral (NB),,,
100161,Esquimalt at Catherine (EB),48.430316,-123.383093,100161,0,,Esquimalt at Catherine (EB),,,
100162,Fairfield at Cornwall (SB),48.415549,-123.349371,100162,0,,Fairfield at Cornwall (SB),,,
100163,May at Wellington (EB),48.411541,-123.351547,100163,0,,May at Wellington (EB),,,
100164,Fairfield at Moss (NB),48.415533,-123.349069,100164,0,,Fairfield at Moss (NB),,,
100165,Yates at Ormond (WB),48.424677,-123.348879,100165,0,,Yates at Ormond (WB),,,
100166,Quadra at Princess (SB),48.432824,-123.358443,100166,0,,Quadra at Princess (SB),,,
100167,Richardson at Moss (EB),48.418771,-123.347562,100167,0,,Richardson at Moss (EB),,,
100168,Linden at Faithful (NB),48.409754,-123.353798,100168,0,,Linden at Faithful (NB),,,
100169,Pandora at Chambers (WB),48.427136,-123.350052,100169,0,,Pandora at Chambers (WB),,,
100170,Bay at Turner (EB),48.434836,-123.375397,100170,0,,Bay at Turner (EB),,,
100171,Quadra at Princess (NB),48.433194,-123.358172,100171,0,,Quadra at Princess (NB),,,
100172,Cook at Caledonia (SB),48.430226,-123.352993,100172,0,,Cook at Caledonia (SB),,,
100173,Wilson at Bay (EB),48.4328,-123.382735,100173,0,,Wilson at Bay (EB),,,
100174,Richardson at Robleda (WB),48.418862,-123.347114,100174,0,,Richardson at Robleda (WB),,,
100175,Bay at Turner (WB),48.435064,-123.374881,100175,0,,Bay at Turner (WB),,,
100176,Wilson at Alston (WB),48.432931,-123.382809,100176,0,,Wilson at Alston (WB),,,
100177,Douglas at Bay (SB),48.43529,-123.365319,100177,0,,Douglas at Bay (SB),,,
100178,Douglas at Bay (NB),48.43468167,-123.3647551,100178,0,,Douglas at Bay (NB),,,
100179,Cook at Caledonia (NB),48.430698,-123.352718,100179,0,,Cook at Caledonia (NB),,,
100180,Bay at Rock Bay (EB),48.435817,-123.36934,100180,0,,Bay at Rock Bay (EB),,,
100181,Johnson at Camosun (EB),48.425458,-123.347862,100181,0,,Johnson at Camosun (EB),,,
100182,Tyee at Bay (WB),48.434101,-123.380956,100182,0,,Tyee at Bay (WB),,,
100183,Bay at Rock Bay (WB),48.435918,-123.368469,100183,0,,Bay at Rock Bay (WB),,,
100184,May at Moss (WB),48.411493,-123.350113,100184,0,,May at Moss (WB),,,
100185,Bay at Douglas (WB),48.435798,-123.365981,100185,0,,Bay at Douglas (WB),,,
100186,Tyee at Langford (EB),48.434129,-123.38134,100186,0,,Tyee at Langford (EB),,,
100187,Fort at Fernwood (EB),48.423364,-123.34608,100187,0,,Fort at Fernwood (EB),,,
100188,Wilson at Mary (EB),48.432815,-123.385542,100188,0,,Wilson at Mary (EB),,,
100189,Wilson at Mary (WB),48.432944,-123.385784,100189,0,,Wilson at Mary (WB),,,
100190,May at Moss (EB),48.411301,-123.34941,100190,0,,May at Moss (EB),,,
100191,Yates at Fernwood (WB),48.424601,-123.346261,100191,0,,Yates at Fernwood (WB),,,
100192,Dallas at Wellington (WB),48.407168,-123.353667,100192,0,,Dallas at Wellington (WB),,,
100193,Quadra at Empress (SB),48.435023,-123.358146,100193,0,,Quadra at Empress (SB),,,
100194,Fernwood at Yates (NB),48.424076,-123.345465,100194,0,,Fernwood at Yates (NB),,,
100195,Douglas at HIllside (SB),48.43867375,-123.3672753,100195,0,,Douglas at HIllside (SB),,,
100196,Cook at Princess (SB),48.432402,-123.352711,100196,0,,Cook at Princess (SB),,,
100197,Esquimalt at Maitland (EB),48.430617,-123.389796,100197,0,,Esquimalt at Maitland (EB),,,
100198,Douglas at Kings (NB),48.437067,-123.366092,100198,0,,Douglas at Kings (NB),,,
100199,Richardson at Kipling (EB),48.416616,-123.3444,100199,0,,Richardson at Kipling (EB),,,
100200,May at Olive (WB),48.411252,-123.348037,100200,0,,May at Olive (WB),,,
100201,May at Joseph (EB),48.41113,-123.347839,100201,0,,May at Joseph (EB),,,
100202,Richardson at Kipling (WB),48.416745,-123.344356,100202,0,,Richardson at Kipling (WB),,,
100203,Fernwood at Johnson (NB),48.425761,-123.345349,100203,0,,Fernwood at Johnson (NB),,,
100204,Esquimalt at Maitland (WB),48.43084019,-123.3902418,100204,0,,Esquimalt at Maitland (WB),,,
100205,Fairfield at Kipling (NB),48.413999,-123.34564,100205,0,,Fairfield at Kipling (NB),,,
100206,Cook at Princess (NB),48.433018,-123.352439,100206,0,,Cook at Princess (NB),,,
100207,Fernwood at Rudlin (SB),48.425849,-123.345522,100207,0,,Fernwood at Rudlin (SB),,,
100208,Quadra at Bay (NB),48.435571,-123.35798,100208,0,,Quadra at Bay (NB),,,
100209,Pandora at Fernwood (WB),48.426919,-123.345862,100209,0,,Pandora at Fernwood (WB),,,
100210,Fairfield at Kipling (SB),48.413674,-123.345516,100210,0,,Fairfield at Kipling (SB),,,
100211,Johnson at Fernwood (EB),48.425395,-123.344975,100211,0,,Johnson at Fernwood (EB),,,
100212,Fort at Elford (EB),48.424934,-123.341292,100212,0,,Fort at Elford (EB),,,
100213,George at Moss (WB),48.408175,-123.350299,100213,0,,George at Moss (WB),,,
100214,Fernwood at Pandora (NB),48.427215,-123.345248,100214,0,,Fernwood at Pandora (NB),,,
100215,Skinner at Catherine (EB),48.435511,-123.384409,100215,0,,Skinner at Catherine (EB),,,
100216,Fernwood at Grant (SB),48.428374,-123.345399,100216,0,,Fernwood at Grant (SB),,,
100217,Eberts at May (SB),48.410637,-123.346305,100217,0,,Eberts at May (SB),,,
100218,Gorge Rd E at David (EB),48.438544,-123.368096,100218,0,,Gorge at David (EB),,,
100219,Skinner at Catherine (WB),48.435654,-123.385338,100219,0,,Skinner at Catherine (WB),,,
100220,Hillside at Ross (WB),48.43859,-123.365786,100220,0,,Hillside at Ross (WB),,,
100221,Moss at Point (SB),48.406348,-123.351122,100221,0,,Moss at Point (SB),,,
100222,May at Eberts (EB),48.410907,-123.345836,100222,0,,May at Eberts (EB),,,
100223,Gorge Rd E at David (WB),48.438742,-123.3682,100223,0,,Gorge at David (WB),,,
100224,Fort at Stanley (WB),48.4246,-123.342749,100224,0,,Fort at Stanley (WB),,,
100225,Wilson at Dalton (EB),48.432526,-123.391202,100225,0,,Wilson at Dalton (EB),,,
100226,Cook at Empress (SB),48.434597,-123.35243,100226,0,,Cook at Empress (SB),,,
100227,Fernwood at Grant (NB),48.428865,-123.34517,100227,0,,Fernwood at Grant (NB),,,
100228,Johnson at Stanley (NB),48.425845,-123.343174,100228,0,,Johnson at Stanley (NB),,,
100229,Wilson at Dalton (WB),48.432664,-123.391205,100229,0,,Wilson at Dalton (WB),,,
100230,Bushby at Joseph (WB),48.408357,-123.347867,100230,0,,Bushby at Joseph (WB),,,
100231,Esquimalt at Barnard (EB),48.431303,-123.393218,100231,0,,Esquimalt at Barnard (EB),,,
100232,Eberts at Bushby (SB),48.409109,-123.34667,100232,0,,Eberts at Bushby (SB),,,
100233,Quadra at Kings (SB),48.437666,-123.358794,100233,0,,Quadra at Kings (SB),,,
100234,Quadra at Kings (NB),48.437903,-123.358611,100234,0,,Quadra at Kings (NB),,,
100235,Cook at Bay (NB),48.435219,-123.352165,100235,0,,Cook at Bay (NB),,,
100236,Fairfield at Memorial (NB),48.412308,-123.343396,100236,0,,Fairfield at Memorial (NB),,,
100237,Hillside at Dowler (EB),48.438963,-123.362391,100237,0,,Hillside at Dowler (EB),,,
100238,Memorial at May (SB),48.411543,-123.343857,100238,0,,Memorial at May (SB),,,
100240,Fernwood at Gladstone (SB),48.430264,-123.345245,100240,0,,Fernwood at Gladstone (SB),,,
100241,Fairfield at Memorial (SB),48.4121397,-123.3434052,100241,0,,Fairfield at Memorial (SB),,,
100242,Esquimalt at Dominion (WB),48.431752,-123.394053,100242,0,,Esquimalt at Dominion (WB),,,
100243,Memorial at Fairfield (NB),48.411816,-123.343432,100243,0,,Memorial at Fairfield (NB),,,
100244,Richardson at Arnold (WB),48.41642122,-123.3413966,100244,0,,Richardson at Arnold (WB),,,
100245,Fernwood at Gladstone (NB),48.430662,-123.345034,100245,0,,Fernwood at Gladstone (NB),,,
100246,Gorge Rd E at Rock Bay (WB),48.43972,-123.370752,100246,0,,Gorge at Rock Bay (WB),,,
100247,Strandlund at Peatt (SB),48.455656,-123.496271,100247,0,,Strandlund at Peatt (SB),,,
100248,Pandora at Johnson (WB),48.426794,-123.342145,100248,0,,Pandora at Johnson (WB),,,
100249,Richardson at Stannard (EB),48.416184,-123.340418,100249,0,,Richardson at Stannard (EB),,,
100250,Cook at Haultain (SB),48.436148,-123.352276,100250,0,,Cook at Haultain (SB),,,
100251,Dunsmuir at Esquimalt (NB),48.43166,-123.394759,100251,0,,Dunsmuir at Esquimalt (NB),,,
100252,Dunsmuir at Garrett (EB),48.430295,-123.396173,100252,0,,Dunsmuir at Garrett (EB),,,
100253,Fernwood at Pembroke (NB),48.431532,-123.34503,100253,0,,Fernwood at Pembroke (NB),,,
100254,Gorge Rd E at Garbally (EB),48.440318,-123.37272,100254,0,,Gorge at Garbally (EB),,,
100256,Gorge Rd E at Garbally (WB),48.440326,-123.372273,100256,0,,Gorge at Garbally (WB),,,
100257,Quadra at Hillside (SB),48.439104,-123.359195,100257,0,,Quadra at Hillside (SB),,,
100258,Begbie at Elford (WB),48.42759341,-123.3412235,100258,0,,Begbie at Elford (WB),,,
100259,Dunsmuir at Garrett (WB),48.430191,-123.396762,100259,0,,Dunsmuir at Garrett (WB),,,
100260,Cook at Haultain (NB),48.436713,-123.352003,100260,0,,Cook at Haultain (NB),,,
100261,Hillside at Quadra (WB),48.439451,-123.359742,100261,0,,Hillside at Quadra (WB),,,
100262,Pandora at Elford (EB),48.426567,-123.340832,100262,0,,Pandora at Elford (EB),,,
100263,Old Esquimalt at Viewfield (EB),48.43287927,-123.3944793,100263,0,,Old Esquimalt at Viewfield (EB),,,
100264,Fernwood at Centre (SB),48.432207,-123.345171,100264,0,,Fernwood at Centre (SB),,,
100265,Begbie at Elford (EB),48.427545,-123.340894,100265,0,,Begbie at Elford (EB),,,
100266,Hillside at Fifth (EB),48.439475,-123.358167,100266,0,,Hillside at Fifth (EB),,,
100267,Head at Paradise (NB),48.428049,-123.399053,100267,0,,Head at Paradise (NB),,,
100268,Head at Paradise (SB),48.427892,-123.399276,100268,0,,Head at Paradise (SB),,,
100269,Fairfield at Arnold (WB),48.412065,-123.341036,100269,0,,Fairfield at Arnold (WB),,,
100270,Gore at Lyall (EB),48.426481,-123.4002,100270,0,,Gore at Lyall (EB),,,
100271,Quadra at Market (NB),48.440055,-123.35924,100271,0,,Quadra at Market (NB),,,
100272,Old Esquimalt at Viewfield (WB),48.433017,-123.394951,100272,0,,Old Esquimalt at Viewfield (WB),,,
100273,Craigflower at Pine (SB),48.436948,-123.388575,100273,0,,Craigflower at Pine (SB),,,
100274,Gore at Lyall (WB),48.426478,-123.400509,100274,0,,Gore at Lyall (WB),,,
100275,Dunsmuir at Head (EB),48.42931,-123.398728,100275,0,,Dunsmuir at Head (EB),,,
100276,Esquimalt 830 block (WB),48.431849,-123.397028,100276,0,,Esquimalt 830 block (WB),,,
100277,Dunsmuir at Head (WB),48.429282,-123.399194,100277,0,,Dunsmuir at Head (WB),,,
100278,Hillside at Graham (WB),48.439794,-123.356813,100278,0,,Hillside at Graham (WB),,,
100279,Fairfield at Stannard (EB),48.41224811,-123.3396718,100279,0,,Fairfield at Stannard (EB),,,
100280,Hillside at Graham (EB),48.439771,-123.356014,100280,0,,Hillside at Graham (EB),,,
100281,Craigflower at Belton (NB),48.437419,-123.388819,100281,0,,Craigflower at Belton (NB),,,
100282,Langford Parkway at Lakepoint Bay E (WB),48.44545431,-123.5324346,100282,0,,Langford Parkway at Lakepoint Bay E (WB),,,
100283,Esquimalt 850 block (EB),48.431526,-123.397927,100283,0,,Esquimalt 850 block (EB),,,
100284,Richardson at St Charles (WB),48.416239,-123.338052,100284,0,,Richardson at St Charles (WB),,,
100285,Fernwood at Bay (SB),48.434253,-123.345095,100285,0,,Fernwood at Bay (SB),,,
100286,Fort at Belmont (EB),48.42591,-123.338274,100286,0,,Fort at Belmont (EB),,,
100287,Legislature Terminus Bay G,48.41857645,-123.3688138,100287,0,,Legislature Terminus Bay G,,,
100288,Gorge Rd E at Jutland (EB),48.44152,-123.375841,100288,0,,Gorge at Jutland (EB),,,
100289,Fernwood at Bay (NB),48.434337,-123.344877,100289,0,,Fernwood at Bay (NB),,,
100290,Burnside Rd E at Dunedin (EB),48.442038,-123.36955,100290,0,,Burnside at Dunedin (EB),,,
100291,Douglas at Summit (SB),48.442365,-123.369342,100291,0,,Douglas at Summit (SB),,,
100292,Burnside Rd E at Dunedin (WB),48.44218,-123.369544,100292,0,,Burnside at Dunedin (WB),,,
100293,Richardson at St Charles (EB),48.416164,-123.337087,100293,0,,Richardson at St Charles (EB),,,
100294,Fort at Belmont (WB),48.426264,-123.337788,100294,0,,Fort at Belmont (WB),,,
100295,Douglas at Summit (NB),48.442585,-123.369092,100295,0,,Douglas at Summit (NB),,,
100296,Pandora at Belmont (EB),48.42647,-123.337801,100296,0,,Pandora at Belmont (EB),,,
100297,Gorge Rd E at Jutland (WB),48.442217,-123.377189,100297,0,,Gorge at Jutland (WB),,,
100298,Hillside at Bakery (WB),48.440121,-123.3543218,100298,0,,Hillside at Bakery (WB),,,
100299,Esquimalt at Head (EB),48.430624,-123.400301,100299,0,,Esquimalt at Head (EB),,,
100300,Jutland at Cecelia (NB),48.442621,-123.375648,100300,0,,Jutland at Cecelia (NB),,,
100301,Hillside at Blackwood (EB),48.440096,-123.353468,100301,0,,Hillside at Blackwood (EB),,,
100302,Fernwood at Haultain (SB),48.435933,-123.34502,100302,0,,Fernwood at Haultain (SB),,,
100303,Fairfield at St Charles (WB),48.412276,-123.337658,100303,0,,Fairfield at St Charles (WB),,,
100304,Quadra at Topaz (SB),48.442066,-123.360027,100304,0,,Quadra at Topaz (SB),,,
100305,Old Esquimalt at Aldebury (EB),48.432902,-123.39923,100305,0,,Old Esquimalt at Aldebury (EB),,,
100306,Fernwood at Haultain (NB),48.436036,-123.344855,100306,0,,Fernwood at Haultain (NB),,,
